question,document
"I just found this course—can I still join it, or is it too late already?",74eb249bbf
"If I start the course now, is there still a way to get the certificate?",74eb249bbf
Do I need to submit the project before submissions close in order to get the certificate?,74eb249bbf
Can I join the course after it has already started and still complete everything?,74eb249bbf
Is the only requirement for the certificate to turn in my project before you stop accepting submissions?,74eb249bbf
"I signed up for the LLM Zoomcamp — when should I expect the confirmation email, or is there one at all?",977bf7786c
Do I need to wait for an acceptance email before I can start the LLM Zoomcamp lessons and homework?,977bf7786c
"Is registration for the LLM Zoomcamp mandatory, or can I just begin learning and submitting assignments?",977bf7786c
"If I already filled out the LLM Zoomcamp registration form, does that mean I’m on some approved list?",977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t seem to affect access to the course?,977bf7786c
"Where can I watch the Office Hours or live workshop sessions if I’m a student, since I can’t see the Zoom link?",489dd1c9d9
"Is the Zoom URL for the live sessions shared with students, or is it only for the teaching team?",489dd1c9d9
How do students join the workshop stream and ask questions during the live session?,489dd1c9d9
"Where is the live session video link announced before it starts, and can I watch it on YouTube too?",489dd1c9d9
What’s the right place to submit questions during Office Hours if chat gets too busy?,489dd1c9d9
"Where do I begin if I just joined LLM Zoomcamp, and what should I look at first?",04919992b3
What’s the usual weekly routine for this course after I watch the videos?,04919992b3
"Do I have to start LLM Zoomcamp on a fixed date, or can I jump in anytime?",04919992b3
"Which docs, GitHub repo, or course page should I check to keep up with deadlines and materials?",04919992b3
How do the homework assignments usually relate to the lesson notebooks and code?,04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?",c2903069a0
Where can I check what my display name is in the course profile?,c2903069a0
What do I need to fill in if I want my real name on the certificate instead of the default nickname?,c2903069a0
Can I use a Slack or GitHub handle as my displayed name and still keep my identity private?,c2903069a0
Can I do this course at my own pace and still receive a certificate at the end?,69d122f12e
"If I study the course later on my own, is there any way to get the certificate anyway?",69d122f12e
Why isn’t a certificate available for people who take the course in self-paced mode?,69d122f12e
Do I have to join a live cohort to qualify for the course certificate?,69d122f12e
Is the peer-review part the reason certificates are only given during the live run?,69d122f12e
"If I skipped the first homework, can I still earn the course certificate?",9f689c185f
Do I have to do every homework assignment to get certified in this course?,9f689c185f
What do I actually need to pass in order to receive the certificate?,9f689c185f
"Is homework required for the certificate, or is it just for practice?",9f689c185f
"If homework isn’t mandatory, what role does it play in the final ranking?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready to work on?,96286b4be4
Is it safe to start the homework while it is still marked as draft?,96286b4be4
Can the final homework version be different from what I saw earlier?,96286b4be4
When is the next llm-zoomcamp course offering scheduled for?,bd31146b0e
Do you know when this course will run again after this session?,bd31146b0e
What's the next time this course is going to be offered?,bd31146b0e
Is there a planned date for the next run of the course?,bd31146b0e
When should I expect the next course session to start?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there a main place to start if I want to watch the lessons?,31456f4b5f
"Do the lesson pages include links to the videos, and where are they shown?",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course videos?,31456f4b5f
I’m trying to find the lectures — what’s the easiest updated source for them?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and homework deadlines in one place?,20c5a1347e
Is there a course page for tracking my progress in the LLM Zoomcamp?,20c5a1347e
What platform should I use to follow the current cohort structure and deadlines for LLM Zoomcamp?,20c5a1347e
Where can I find the official LLM Zoomcamp management site for homework and progress tracking?,20c5a1347e
"How do I keep track of the syllabus, assignments, and deadlines during the LLM Zoomcamp?",20c5a1347e
"Will there be a live class or office hour for every module, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help instead of waiting for a live session?",d65e05bd7a
How do I know when any live sessions are happening for the course?,d65e05bd7a
Is there any extra paid support with regular Zoom office hours if I want more guidance?,d65e05bd7a
"Are the module materials available in the course repo, and are they free to access?",d65e05bd7a
Can I count a Bluesky post toward my learning in public credits for the course?,dbf5369006
Are Bluesky posts accepted if I want to earn learning in public credits?,dbf5369006
Does posting on Bluesky qualify for learning in public credit in this course?,dbf5369006
"If I share my learning on Bluesky, will that be recognized as learning in public credits?",dbf5369006
Can I use a Bluesky update as proof for my learning in public credits?,dbf5369006
Where can I find the LLM Zoomcamp Telegram channel link?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
What’s the Telegram group for this course?,054f3fd58f
Can you share the LLM Zoomcamp Telegram channel URL?,054f3fd58f
Should I use the Telegram channel for announcements or technical questions?,054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the course videos?,e2d595f23c
"Is the FAQ data supposed to match exactly what’s in the lectures, or can it change over time?",e2d595f23c
I ran the code and got a different FAQ count — is that because the dataset is live?,e2d595f23c
"The videos show one number of FAQ records, but I see another one now. What’s causing that?",e2d595f23c
Why do old course videos and the current FAQ dataset not line up anymore?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the submission form is still open?,a9353fadfe
"If the homework deadline is over, does the form still accept submissions?",a9353fadfe
Is it okay to submit my answers late as long as the form hasn’t closed yet?,a9353fadfe
At what point do homework submissions actually stop being accepted?,a9353fadfe
"The deadline passed, but the upload form is open — should I still send my homework?",a9353fadfe
"Can I still turn in homework after the deadline, or is the submission form shut for good?",cdc3b285e5
