question,answer_llm,answer_orig,document
"I just found this course—can I still join it, or is it too late already?","Yes, you can still join. If you want a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course now, is there still a way to get the certificate?","Yes — you can start now, but to get a certificate you need to finish the course with the live cohort and submit your project while submissions are still open. You also need to peer-review 3 capstone projects after submitting your own.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit the project before submissions close in order to get the certificate?,"Yes. To get the certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I join the course after it has already started and still complete everything?,"Yes, you can still join after the course has started. But if you want a certificate, you need to complete the course with a live cohort and submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is the only requirement for the certificate to turn in my project before you stop accepting submissions?,"No. To get the certificate, you also need to complete the capstone process, including peer-reviewing 3 other projects. Simply submitting your project before submissions close is not enough.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I signed up for the LLM Zoomcamp — when should I expect the confirmation email, or is there one at all?","You don’t need to wait for a confirmation email — you’re accepted. You can start learning and submitting homework right away while the form is open, and registration is just for gauging interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I need to wait for an acceptance email before I can start the LLM Zoomcamp lessons and homework?,"No — you don’t need to wait for an acceptance email. You’re accepted, and you can start the lessons and submit homework as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration for the LLM Zoomcamp mandatory, or can I just begin learning and submitting assignments?","No, registration is not mandatory. You can just start learning and submit homework while the form is open, and it isn’t checked against a registered list. Registration is only to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I already filled out the LLM Zoomcamp registration form, does that mean I’m on some approved list?","Yes — registering does **not** put you on a separate approved list, because the form is **not checked against any registered list**. Registration is only used to gauge interest, and you can start learning and submitting homework even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the LLM Zoomcamp if it doesn’t seem to affect access to the course?,"Registration is just to gauge interest before the start date. It doesn’t control access to the course, and you can start learning and submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Where can I watch the Office Hours or live workshop sessions if I’m a student, since I can’t see the Zoom link?","If you’re a student, you can watch the sessions on the DataTalksClub YouTube Channel. The video URL is also posted in the announcements channel on Telegram and Slack before the session begins, and the live link is pinned in the chat when it’s live.

The Zoom link itself is only published to instructors, presenters, and TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom URL for the live sessions shared with students, or is it only for the teaching team?",The Zoom link is **only published to instructors/presenters/TAs**. Students join via **YouTube Live** and can ask questions through **Slido**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do students join the workshop stream and ask questions during the live session?,"Students join the workshop stream via **YouTube Live**.  
To ask questions during the live session, they should use **Slido** — the Slido link is **pinned in the chat when the session is live**.

Also, the stream/video URL is posted in the **announcements channel on Telegram and Slack** before it begins, and the session can be watched on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where is the live session video link announced before it starts, and can I watch it on YouTube too?","The live session video link is announced in the **announcements channel on Telegram and Slack** before it begins. Yes, you can also watch it live on the **DataTalksClub YouTube Channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
